,FilePos,DetectionMode,LE,Dwell,SSNR,SNR_Joy,Mode
263,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_3000ns_004.tif,BSD,1.5,3000.0,0.4464331966647853,0.42378362250063717,UHR
100,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_5000ns_001.tif,BSD,1.5,5000.0,0.7099131490006134,0.6809859974122908,HR
101,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_5000ns_002.tif,BSD,1.5,5000.0,0.38996085909346634,0.3457415192242356,HR
102,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_5000ns_003.tif,BSD,1.5,5000.0,0.7690770712228765,0.7125264948047841,HR
103,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_5000ns_004.tif,BSD,1.5,5000.0,0.5166456695080086,0.5099606362673459,HR
104,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_5000ns_005.tif,BSD,1.5,5000.0,0.916987514645756,0.6984730914282159,HR
105,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_5000ns_006.tif,BSD,1.5,5000.0,2.0213188621275346,1.9681007729337396,HR
269,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_5000ns_.tif,BSD,1.5,5000.0,0.5122199421348193,0.4701280043535166,UHR
270,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_5000ns_001.tif,BSD,1.5,5000.0,0.4240735746130986,0.3924986952633963,UHR
271,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_5000ns_002.tif,BSD,1.5,5000.0,0.9925749246953768,0.9008886064052803,UHR
272,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_5000ns_003.tif,BSD,1.5,5000.0,1.241074813031324,1.2195502224112358,UHR
273,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_5000ns_004.tif,BSD,1.5,5000.0,0.690472932044959,0.6527402441612336,UHR
64,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_10000ns_001.tif,BSD,1.5,10000.0,4.778614572766621,4.7263038353063935,HR
65,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_10000ns_002.tif,BSD,1.5,10000.0,3.329148912481972,2.3164064865489284,HR
66,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_10000ns_003.tif,BSD,1.5,10000.0,5.000378959651624,3.1978934494772298,HR
